ttype,n_cells,mean_run,mean_stat,delta
Sst-Hpse-Sema3c,5,146.64529969523505,72.98966768375651,73.65563201147854
Sst-Calb2-Pdlim5,23,88.55915735168145,44.37981291492374,44.17934443675771
Sst-Calb2-Necab1,39,109.60790484665414,78.24245709702124,31.365447749632892
Sst-Rxfp1-Eya1,5,72.7605447931401,49.952338311411424,22.808206481728675
Sst-Hpse-Cbln4,14,86.51618256968736,64.54009224025776,21.976090329429596
Sst-Tac1-Tacr3,9,76.99023691981468,63.73083770723196,13.259399212582714
Sst-Tac2-Tacstd2,1,13.444146323788376,4.049083277997811,9.395063045790565
Sst-Tac1-Htr1d,15,67.35669151072725,69.88319251348668,-2.5265010027594315
Sst-Chodl,2,4.584149183288389,6.45266486517254,-1.8685156818841513
