ophys_experiment_id,cell_specimen_id,osi
573720508,578468469,0.4250372350215912
573720508,578468534,0.4000943899154663
573720508,578468481,0.6235496997833252
573720508,578468462,0.30762097239494324
573720508,578468474,0.9791363477706909
573720508,578468517,0.4586813449859619
573720508,578468522,0.8733501434326172
573720508,578468505,0.15555275976657867
573720508,578468511,0.8016108274459839
573720508,578468490,0.8937872648239136
575939366,579100814,0.3012250065803528
575939366,662213460,
575939366,662213593,0.38748541474342346
575939366,579100796,0.9875546097755432
575939366,579100640,0.47987473011016846
577379202,662213030,0.3226777911186218
577379202,662213098,0.5704611539840698
577379202,662213084,0.41638797521591187
577379202,662213091,0.541642427444458
577379202,662213070,0.46250608563423157
577379202,662213051,0.4523179829120636
580043440,605625566,0.7013541460037231
580043440,605625620,0.16913114488124847
580043440,605625554,0.5401087403297424
580043440,605625580,0.5079612731933594
580043440,605625539,0.48375049233436584
580043440,605625559,0.4420703947544098
580043440,605625594,0.9947130680084229
580043440,605625573,0.7529570460319519
580043440,605625614,0.8358195424079895
580043440,605625587,0.4594159722328186
580163817,593341741,0.1707449108362198
580163817,593341900,1.075745940208435
580163817,593341706,0.9136143326759338
580163817,593341692,0.25405368208885193
580163817,593341814,0.9633291363716125
580163817,593342041,0.764811635017395
580163817,593342069,0.7641805410385132
581150104,588446498,0.41939735412597656
581150104,588446504,1.113050103187561
581150104,588446532,0.41041144728660583
581150104,588446511,0.9468964338302612
581150104,588446518,0.09367337077856064
581150104,588446586,0.8924819827079773
581150104,588446572,0.36560818552970886
581150104,588446579,0.8204745650291443
582918858,591033603,0.8851072192192078
582918858,591033610,0.5862041115760803
582918858,591034272,0.996675968170166
582918858,591034316,0.03257317095994949
582918858,591034294,0.5820915699005127
582918858,591033582,0.9846614599227905
582918858,591034327,0.2885378301143646
582918858,591033619,0.49769821763038635
582918858,591034235,0.7816144227981567
582918858,591034211,0.8625950813293457
582918858,591034151,0.8706679344177246
582918858,591034455,0.35898521542549133
582918858,591034158,0.5794456005096436
582918858,591033648,0.7316362857818604
582918858,591034165,0.9396743178367615
582918858,591033755,0.6157935261726379
582918858,591033776,0.6740700006484985
598635821,662132818,0.7097105979919434
598635821,662132799,0.830599844455719
598635821,662132774,0.7983455657958984
598635821,662132920,0.5101088285446167
598635821,662132861,0.7530462741851807
598635821,662132834,0.143162339925766
598635821,662132742,0.6627646088600159
598635821,662132758,0.545012354850769
598635821,662133166,0.7772760987281799
598635821,662132691,0.619476318359375
598635821,662133080,0.5519587993621826
598635821,662133218,0.23977130651474
598635821,662132707,0.42704105377197266
598635821,662132718,0.5806108713150024
601423209,605071239,0.8360617160797119
601423209,605071225,0.5521678924560547
601423209,605071260,0.8408327102661133
601423209,605071268,0.757407009601593
601423209,605071246,1.056734323501587
601423209,605071253,0.8186741471290588
601423209,605071529,0.6420327425003052
601423209,605071346,1.0832056999206543
601423209,605071321,0.9035279750823975
601423209,605071329,1.1083242893218994
612044635,662056046,1.021637201309204
612044635,662056320,0.6591296792030334
612044635,662056644,0.7744331955909729
612044635,662056772,0.43926388025283813
612044635,662056373,
612044635,662056436,0.872430682182312
612044635,662056454,0.1247604712843895
612044635,662056398,0.2906745374202728
613968705,662099364,0.5853985548019409
613968705,662100223,0.33330824971199036
613968705,662099853,0.612122654914856
613968705,662099026,0.6109670996665955
613968705,662099824,0.3634442090988159
613968705,662100578,0.5233601331710815
613968705,662099462,0.12009244412183762
613968705,662099473,0.3751259446144104
613968705,662100419,0.46332523226737976
613968705,662099802,0.6623241305351257
613968705,662099776,0.1329338699579239
613968705,662100173,0.2549426853656769
613968705,662100053,0.428716242313385
613968705,662100082,0.6391856670379639
613968705,662100453,0.3725000321865082
