supertype,n_cells_in_visp,fraction_of_visp_sst
0217 Sst Gaba_4,3325,0.278662
0214 Sst Gaba_1,1485,0.124455
0223 Sst Gaba_10,1316,0.110292
0222 Sst Gaba_9,1126,0.094368
0220 Sst Gaba_7,1076,0.090178
0221 Sst Gaba_8,1027,0.086071
0224 Sst Gaba_11,684,0.057325
0229 Sst Gaba_16,674,0.056487
0218 Sst Gaba_5,404,0.033859
0226 Sst Gaba_13,403,0.033775
