supertype,n_cells_in_visp,fraction_of_visp_sst
0217 Sst Gaba_4,3325,0.270788
0214 Sst Gaba_1,1485,0.120938
0223 Sst Gaba_10,1316,0.107175
0222 Sst Gaba_9,1126,0.091701
0220 Sst Gaba_7,1076,0.087629
0221 Sst Gaba_8,1027,0.083639
0224 Sst Gaba_11,684,0.055705
0229 Sst Gaba_16,674,0.05489
0218 Sst Gaba_5,404,0.032902
0226 Sst Gaba_13,403,0.03282
