region,cluster,Drd1,Drd2,Drd3,Drd4,Drd5,Htr1a,Htr1b,Htr1d,Htr1f,Htr2a,Htr2c,Htr3a,Htr4,Htr6,Htr7,Chrm1,Chrm2,Chrm3,Chrm4,Chrm5,Chrna2,Chrna4,Chrna5,Chrna7,Chrnb2,Adra1a,Adra1b,Adra2a,Adra2c,Adrb1,Adrb2,Hrh1,Hrh2,Hrh3,Adora1,Adora2a,Cnr1,Oprk1,Oprd1,Oprm1,Npy1r,Npy2r,subclass
ALM,L2/3 IT ALM Macc1 Lrg1,0.0,0.0,0.0,0.012903100001259056,6.886399437529965e-05,0.07862696444810902,0.00984646735958883,0.0021743911897431304,0.03863376866450145,0.23887002202105695,0.0076258965469657575,0.0014403880091787445,0.0,0.043628411926141066,0.16560001901601254,0.7331601204304697,0.06541607417164405,0.2756745257197968,0.05682922425861567,0.0,0.0002813402279503951,0.04692789713577835,6.673946087129631e-05,0.01893366652299711,0.06845075396243305,0.025625202696299157,0.1249237194892128,0.0230294109735336,0.20100047018609093,0.21748466198458904,0.012202904530748316,0.22470782171801515,0.09336249065193991,0.07953759726516826,0.27974413283618593,0.0,0.7053789827119995,0.0,0.0342298066898102,0.018384028689171744,0.4486051308289687,0.00020294746583436176,L2/3 IT
ALM,L2/3 IT ALM Ptrf,0.0,0.0,0.0,0.0616551138307882,0.0,0.05429565298935794,0.011451613889017888,0.0040999179712488745,0.023080032727227938,0.19529333622738781,0.021774660702296812,0.004460971896503433,0.00011577139116536544,0.03381507899425074,0.1060924461483409,0.7732230903400644,0.28600790343079824,0.41082345308380297,0.04335439042051634,0.00011993525402813198,0.003973920875678738,0.025049019867352917,0.0,0.016920241545646558,0.06661783792797486,0.026571395377758007,0.10780421764024921,0.00968520794618132,0.19968081714173685,0.18640550673451178,0.020332863702372105,0.17146114682457458,0.17937962374308375,0.03662861280935616,0.48651562538218956,0.0,0.6429990725326518,0.0,0.02133542218519377,0.0707300819162721,0.5016994440695172,0.01777011072975315,L2/3 IT
ALM,L2/3 IT ALM Sla,0.0,0.0,0.0,0.012552202698916177,0.0007928713144716001,0.021547594076976043,0.01932805558891752,0.0,0.019385092624044573,0.3079184086990368,0.0209627233638618,0.0,0.00275167224859143,0.024107949876774008,0.10297718947552745,0.6959741193809971,0.055123543988097455,0.2721606199192221,0.03454740253696115,5.254724482290477e-05,0.0005711203069219283,0.009028240247799567,0.0,0.014932420497158474,0.0644100301466407,0.01449281338273747,0.010366496787429777,0.08520333500753313,0.09268066798206581,0.13991864572235016,0.017862317971582303,0.06890521565600749,0.07998984147252522,0.00552135185767547,0.1695169058074443,0.0,0.5753191556334634,0.0,0.03905195566484574,0.046018625061226545,0.3983593884369502,0.002895215532813989,L2/3 IT
ALM,L2/3 IT VISp Adamts2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2/3 IT
ALM,L2/3 IT VISp Agmat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2/3 IT
ALM,L2/3 IT VISp Rrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2/3 IT
ALM,Lamp5 Fam19a1 Pax6,0.00021578567857372195,0.010291311828546836,0.0,0.0,0.0,0.02368134439884004,0.0,0.0,0.0,0.007790582503494043,0.11013314600498239,0.8983199609066731,0.027598214848324212,0.02642020005165848,0.20452527536912604,0.3692922987345485,0.0,0.11544552241773086,0.0,0.0,0.0,0.691949341354725,0.03450582919145999,0.7576367992931677,0.14348147128054362,0.5796979838668076,0.31772747037974336,0.03694874656640569,0.2222361199625723,0.024253978833110347,0.0,0.22661726906941285,0.18808054966702484,0.0979724173913285,0.0001724514385020453,0.0,3.5772490416951843,0.0,0.0,0.1574951867744659,0.9373451546699226,0.20718775498309727,Lamp5
ALM,Lamp5 Fam19a1 Tmem182,0.14657354977521309,0.04774573575840022,0.0,0.0036840815408678775,0.0,0.08719144307912609,0.01156069525023635,0.0,0.0032840115670062773,0.004372637298085343,0.0,0.9656540286598667,0.03375101842030701,0.011691985180906358,0.08527134122035494,0.4690872705458932,9.562188899692306e-05,0.16655679712776256,0.000905847945855654,0.0,0.0,0.5529889348259927,0.02738419721168813,0.4928697140614681,0.11430550412633714,0.5550309835932998,0.42178772056240643,0.02775230673776089,0.20502902133865678,0.06977565728749571,0.015477579037246524,0.27107733341928636,0.20194502240923368,0.12140357526376358,9.099075053628023e-05,0.0,3.111799449254163,7.562725181732422e-05,0.0,0.07986951248477318,0.48738887388813334,0.11520715780165824,Lamp5
ALM,Lamp5 Krt73,0.0,0.0,0.0,0.0,0.03943671993259181,0.08042432342581257,0.0,0.0,0.0004429751496066358,0.08976512412960769,0.11741681211489735,0.1529345966991203,0.007892288496997872,0.0,0.19369151855146602,0.24480641957661162,0.0,0.23370846574094162,0.026134961328849963,0.0,0.0,0.5124775481120594,0.0,0.7758878200752183,0.0943113389176301,0.08493730531003917,0.06144721086580878,0.006919721220147945,0.009625039196952397,0.005888406464826828,0.0,0.04537897424159543,0.22473856747275234,0.1307445487944724,0.02552735469535919,0.0,3.503529956751614,0.0,0.0,0.11557612537602881,0.25242188966506834,0.00021843741465983187,Lamp5
ALM,Lamp5 Lhx6,0.05414076950714074,0.036364221968352185,0.0,0.0,0.0,0.0,0.00023996691592409765,0.006536869382592378,0.10117289903653456,0.03483104450594853,0.0013349986127595664,0.0005784653834657497,0.00016449636596218209,0.0,0.1558058169527652,0.30290737613184804,0.00017201938346036948,0.03566298818144522,0.04302611256017281,0.00017065075744146282,0.0,0.05131161867738048,0.010765683124394711,0.0893202669912362,0.13146656114649255,0.40607259425959885,0.007156416985507495,0.0,0.0,0.10084829281090102,0.016229563476932607,0.0,0.10041642433371434,0.20718185085873822,0.11364049049708794,0.0,0.10938876767282892,0.0,0.0,0.4294186301209711,0.061146320626973547,0.017858823122527318,Lamp5
ALM,Lamp5 Lsp1,0.021462979983247914,0.021529648896438245,0.0,0.0,0.0,0.030694356547927824,0.007317795349928004,0.0,0.34462157058819864,0.20795426361464767,0.004585852394771698,0.08939616363315885,0.002648926682609257,1.4786988626593547e-05,0.006859938679209044,0.37813119718679367,4.411870867398805e-05,0.02162951515034405,0.037232579459505026,0.0007438387448771273,5.1653624764270105e-05,0.3589101286682079,0.16591965638321468,0.1488045717247386,0.12876864654561304,0.46399649340415655,0.20329204885416421,0.059774672092649625,0.006619282215467463,0.04851559552678102,0.0,0.053979954328730616,0.05782114313851028,0.5510657109624097,0.032656673812261616,0.00012090885525537,0.8585882977992508,0.0,0.0001692229510994035,0.6739285718043758,0.029370717761527033,0.000993459241979083,Lamp5
ALM,Lamp5 Ntn1 Npy2r,0.24522319023011355,0.00046420113784076747,0.0,0.0,0.0,0.07095557107469075,0.027015619086516462,0.005278803555967445,0.027989919032906527,0.01712171641823582,0.004682194116942237,0.6867945265535851,0.009663880261055432,0.0024382035969049707,0.07432266440792341,0.5114257291751034,0.0,0.03285785876783402,0.009085288809714147,0.0,0.0,0.46151605311159305,0.0823414902311124,0.26594172978604846,0.14823084986395152,0.5722208816067333,0.4081211845265461,0.07859632263757038,0.1838456113246375,0.11415268176031397,0.00014461606114224694,0.21182130986607176,0.16701271642479934,0.2184664560899925,0.0005752349382473224,0.0,2.5050867141865965,0.0035669368624195257,0.0,0.06697653026028208,0.5220001598329058,0.3595563879883639,Lamp5
ALM,Lamp5 Plch2 Dock5,0.014158318898858295,0.0,0.0,0.0,0.0,0.02619166862207347,0.026735420897405097,0.0,0.021912500313749684,0.3048820555724568,0.05083315959938898,0.10726429008444203,0.002073583442381304,0.0005088844929679003,0.03428914402517885,0.43491580443920125,2.0917793108814747e-05,0.013411393686294678,0.013920804099953263,2.4164548661163534e-05,0.0,0.4103843425630404,0.05321970656370631,0.29821696723077284,0.10525382739056463,0.6977351546401996,0.4160739008004426,0.10410138216303824,0.04690428991037939,0.08123120157324706,0.0,0.23139104720889553,0.029578700180773014,0.4109657807027717,0.002869833869542985,0.0,2.2623876139648478,0.0,0.0,0.41747360582577114,0.1722838837615564,0.011257040001561563,Lamp5
ALM,Serpinf1 Aqp5 Vip,0.25028117837300273,0.08432414975221939,0.0,0.013604517517188393,0.0,0.003994916099536278,0.0,0.0,0.5028128250228912,0.2964735551509875,0.3618257569335188,0.9257007295694838,0.04561383492717607,0.0012449535145137918,0.07512855545713941,0.289045299083761,0.0,0.19857443559289611,0.0,0.0,0.0,0.47850481800386924,0.48736790383995743,0.11436175841632944,0.23414044684988794,0.29933252012621714,0.6726432146915202,0.07893104830038095,0.0756520870356817,0.05163588634367258,0.0,0.10798243721889401,0.3724736432427905,0.21141992076157326,0.12925081589198095,0.0,2.973169968337771,0.017606482620383924,0.0,0.14558233898587816,0.5636604839291796,0.0,Serpinf1
