region,cluster,Drd1,Drd2,Drd3,Drd4,Drd5,Htr1a,Htr1b,Htr1d,Htr1f,Htr2a,Htr2c,Htr3a,Htr4,Htr6,Htr7,Chrm1,Chrm2,Chrm3,Chrm4,Chrm5,Chrna2,Chrna4,Chrna5,Chrna7,Chrnb2,Adra1a,Adra1b,Adra2a,Adra2c,Adrb1,Adrb2,Hrh1,Hrh2,Hrh3,Adora1,Adora2a,Cnr1,Oprk1,Oprd1,Oprm1,Npy1r,Npy2r,subclass
ALM,L2/3 IT ALM Macc1 Lrg1,0.0,0.0,0.0,0.125,0.013888888888888888,0.5694444444444444,0.18055555555555555,0.013888888888888888,0.4166666666666667,0.7777777777777778,0.1111111111111111,0.05555555555555555,0.0,0.5833333333333334,0.7222222222222222,1.0,0.3333333333333333,1.0,0.5694444444444444,0.0,0.013888888888888888,0.4166666666666667,0.013888888888888888,0.19444444444444445,0.5972222222222222,0.2638888888888889,0.9027777777777778,0.25,0.8472222222222222,1.0,0.09722222222222222,0.8055555555555556,0.5416666666666666,0.5972222222222222,0.9166666666666666,0.0,1.0,0.0,0.3055555555555556,0.25,0.9305555555555556,0.013888888888888888,L2/3 IT
ALM,L2/3 IT ALM Ptrf,0.0,0.0,0.0,0.325,0.0,0.25,0.25,0.025,0.225,0.75,0.175,0.05,0.025,0.525,0.425,1.0,0.8,1.0,0.5,0.025,0.125,0.35,0.0,0.175,0.625,0.2,0.675,0.075,0.825,1.0,0.1,0.7,0.625,0.35,0.975,0.0,1.0,0.0,0.225,0.45,0.95,0.15,L2/3 IT
ALM,L2/3 IT ALM Sla,0.0,0.0,0.0,0.14736842105263157,0.010526315789473684,0.21052631578947367,0.3894736842105263,0.0,0.25263157894736843,0.8421052631578947,0.18947368421052632,0.0,0.031578947368421054,0.47368421052631576,0.5473684210526316,1.0,0.24210526315789474,1.0,0.3263157894736842,0.010526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.1368421052631579,0.7052631578947368,0.09473684210526316,0.17894736842105263,0.5157894736842106,0.5263157894736842,0.9894736842105263,0.15789473684210525,0.3894736842105263,0.4,0.16842105263157894,0.7789473684210526,0.0,1.0,0.0,0.3473684210526316,0.4105263157894737,0.9263157894736842,0.021052631578947368,L2/3 IT
ALM,L2/3 IT VISp Adamts2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2/3 IT
ALM,L2/3 IT VISp Agmat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2/3 IT
ALM,L2/3 IT VISp Rrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2/3 IT
ALM,Lamp5 Fam19a1 Pax6,0.038461538461538464,0.11538461538461539,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.038461538461538464,0.5384615384615384,0.8461538461538461,0.23076923076923078,0.11538461538461539,0.5,0.8846153846153846,0.0,1.0,0.0,0.0,0.0,1.0,0.07692307692307693,1.0,0.8076923076923077,0.9615384615384616,0.9615384615384616,0.19230769230769232,0.6923076923076923,0.3076923076923077,0.0,0.5384615384615384,0.5384615384615384,0.6923076923076923,0.038461538461538464,0.0,1.0,0.0,0.0,0.46153846153846156,1.0,0.15384615384615385,Lamp5
ALM,Lamp5 Fam19a1 Tmem182,0.4032258064516129,0.16129032258064516,0.0,0.016129032258064516,0.0,0.3064516129032258,0.1774193548387097,0.0,0.03225806451612903,0.016129032258064516,0.0,0.8387096774193549,0.20967741935483872,0.08064516129032258,0.3225806451612903,0.9516129032258065,0.016129032258064516,0.9032258064516129,0.03225806451612903,0.0,0.0,1.0,0.11290322580645161,0.8870967741935484,0.5645161290322581,0.9838709677419355,0.9838709677419355,0.14516129032258066,0.7096774193548387,0.5806451612903226,0.04838709677419355,0.6129032258064516,0.5,0.7419354838709677,0.016129032258064516,0.0,1.0,0.016129032258064516,0.0,0.3064516129032258,0.7741935483870968,0.20967741935483872,Lamp5
ALM,Lamp5 Krt73,0.0,0.0,0.0,0.0,0.25,0.2916666666666667,0.0,0.0,0.08333333333333333,0.25,0.2916666666666667,0.4583333333333333,0.08333333333333333,0.0,0.5833333333333334,0.75,0.0,1.0,0.125,0.0,0.0,1.0,0.0,0.9583333333333334,0.625,0.4166666666666667,0.4583333333333333,0.041666666666666664,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.7083333333333334,0.7916666666666666,0.125,0.0,1.0,0.0,0.0,0.4166666666666667,0.6666666666666666,0.041666666666666664,Lamp5
ALM,Lamp5 Lhx6,0.10714285714285714,0.17857142857142858,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.39285714285714285,0.17857142857142858,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.0,0.42857142857142855,0.8571428571428571,0.03571428571428571,0.5714285714285714,0.07142857142857142,0.03571428571428571,0.0,0.25,0.07142857142857142,0.32142857142857145,0.5714285714285714,0.8928571428571429,0.10714285714285714,0.0,0.0,0.6785714285714286,0.03571428571428571,0.0,0.25,0.6071428571428571,0.35714285714285715,0.0,0.39285714285714285,0.0,0.0,0.9285714285714286,0.10714285714285714,0.03571428571428571,Lamp5
