subclass,region,gene,n_clusters,mean,std,cv
Lamp5,VISp,Chrna4,7,0.4065395207460485,0.1836753838346744,0.45180092625849205
Lamp5,VISp,Chrna5,7,0.05171668049570655,0.05119215889722607,0.9898386471813231
Lamp5,VISp,Chrna7,7,0.39646157479568245,0.24812818326035319,0.6258552484764203
Lamp5,VISp,Chrnb2,7,0.13411150828807428,0.02129546902204319,0.15878808989464596
Lamp5,VISp,Adra1a,7,0.4094310546543016,0.14114460486893673,0.3447326687406297
Lamp5,VISp,Adra1b,7,0.27168440590899856,0.15570680528056274,0.5731143517245715
Lamp5,VISp,Adra2a,7,0.02359808243152695,0.021694066284984694,0.9192758382844042
Lamp5,VISp,Adra2c,7,0.047693127939023035,0.03469987604769648,0.7275502781403256
Lamp5,VISp,Adrb1,7,0.05303914149351497,0.029055409784566125,0.5478003822466919
Lamp5,VISp,Adrb2,7,0.005174583857762774,0.005599983016058786,1.08200024769369
Lamp5,VISp,Hrh1,7,0.21283307879218402,0.11018293931433483,0.51769406450139
Lamp5,VISp,Hrh2,7,0.138570195283699,0.09079197112213883,0.655200894646676
Lamp5,VISp,Hrh3,7,0.1838618474542024,0.10538896075999754,0.5731933461231118
Lamp5,VISp,Adora1,7,0.007747160889290034,0.010236552752701297,1.3211590336038148
Lamp5,VISp,Adora2a,7,0.0,0.0,0.0
Lamp5,VISp,Cnr1,7,2.0625670387960477,1.1075403883803778,0.5369715653243933
Lamp5,VISp,Oprd1,7,6.719780929082939e-05,0.00014678622466313674,2.1523598219580227
Lamp5,VISp,Oprk1,7,0.0007932622351164697,0.0019430877082550501,2.4464057616564356
Lamp5,VISp,Oprm1,7,0.23746848172509066,0.2068851481531674,0.8712073090413799
Lamp5,VISp,Npy1r,7,0.225328853512548,0.16833324280697678,0.7470525551005285
Lamp5,VISp,Npy2r,7,0.3197902049866066,0.3774491614436366,1.1802987560569242
Lamp5,ALM,Drd1,7,0.06882494201044961,0.08623265623651646,1.2529092042565004
Lamp5,ALM,Drd2,7,0.016627874227082607,0.01787360734533097,1.0748537213794742
Lamp5,ALM,Drd4,7,0.0005262973629811253,0.0012891599922761016,2.4448443758332377
Lamp5,ALM,Drd5,7,0.0056338171332274015,0.013799977280556652,2.4490550366188315
Lamp5,ALM,Htr1a,7,0.045591243878352956,0.031039456650858766,0.6808056373289447
Lamp5,ALM,Htr1b,7,0.010409928214287144,0.011169585967361038,1.0728712884632872
Lamp5,ALM,Htr1d,7,0.0016879532769371176,0.0026899847172085494,1.592693388230835
Lamp5,ALM,Htr1f,7,0.07134626795542891,0.11627708713756778,1.629734262707954
Lamp5,ALM,Htr2a,7,0.09524534629178227,0.1084568756373284,1.138698541832527
Lamp5,ALM,Htr2c,7,0.04128373754910603,0.04871833628713407,1.1800568243696876
Lamp5,ALM,Htr3a,7,0.4144202902743303,0.3876357947290044,0.9353665070450532
Lamp5,ALM,Htr4,7,0.01197034407394818,0.012333410870001253,1.03024445658036
Lamp5,ALM,Htr6,7,0.005867722901580614,0.00925760153105258,1.5774473742079804
Lamp5,ALM,Htr7,7,0.10782367131514624,0.0719709274475708,0.6674810743194074
Lamp5,ALM,Chrm1,7,0.38722372796999993,0.08635347461960703,0.22300609538112254
Lamp5,ALM,Chrm2,7,4.7525396320013614e-05,6.0127941445611704e-05,1.2391025319830884
Lamp5,ALM,Chrm3,7,0.088467505867479,0.07919431268265228,0.8951695510861352
Lamp5,ALM,Chrm4,7,0.01861508488629298,0.01591068671270283,0.8546741600011647
Lamp5,ALM,Chrm5,7,0.0001340934358542505,0.00025554824482538287,1.8916407241362085
Lamp5,ALM,Chrna2,7,7.379089252038586e-06,1.8075003433950114e-05,2.1571560930148306
Lamp5,ALM,Chrna4,7,0.4342197096161427,0.1852636481954472,0.42665778967388013
Lamp5,ALM,Chrna5,7,0.053448080386510895,0.05237414290299668,0.9798885691626325
Lamp5,ALM,Chrna7,7,0.40409683845180716,0.25791900000458773,0.6382587964160745
