roi_a_idx,roi_b_idx,dist_um,noise_corr,signal_corr,total_corr,cx_a,cy_a,cx_b,cy_b
823,901,37.307366605892256,0.6016058,0.5005514,0.03866076,81.9834,-153.18292,84.272705,-190.41998
1026,1209,39.59938283140525,0.60144037,0.25517163,0.3403271,-128.40723,128.99417,-163.38535,110.42963
468,503,23.73421349197394,0.6011066,0.56489134,0.3709202,181.59851,75.13367,204.98877,79.15967
760,905,20.05730189255723,0.5989983,0.57489717,0.2089314,532.114,-123.471725,524.86975,-142.1751
753,755,18.21824153947619,0.5953607,0.16234966,0.10322132,548.7611,-227.89069,563.8884,-217.73842
64,65,23.206893361382978,0.5929334,0.16633455,0.32659772,-327.12823,77.708374,-343.94153,93.70441
505,535,46.77761149404469,0.5924144,0.56623375,0.038473964,222.23517,146.81543,268.49536,153.7537
297,327,41.769251884854924,0.5923572,0.33780256,0.17298561,-22.987396,-152.21664,18.774902,-152.97876
683,1102,14.086441301217409,0.5902724,0.7327916,0.22030702,454.70038,-171.96155,444.4845,-181.66019
522,550,47.34930340582499,0.5890389,-0.09294824,0.16303502,263.94373,-128.05898,310.37097,-137.35776
166,816,36.20821975781065,0.5887887,-0.6080091,0.19959098,-222.02747,180.95703,-203.82419,212.2568
938,1115,17.84182839831912,0.5886964,0.18202394,0.17790061,280.86035,65.34335,268.7829,52.210724
529,531,25.773121721438304,0.5876821,0.552011,0.13566566,261.33887,32.43631,236.96863,24.049103
379,1211,31.40831034939567,0.5870372,0.34767017,0.08007421,55.3703,300.0152,34.46515,323.4557
458,939,44.73548300462128,0.58587176,0.15359376,0.05076099,187.68976,-80.051865,217.97333,-112.978584
606,609,28.235638439935794,0.58550483,0.23223719,-0.025115412,332.23108,121.83038,346.7384,97.60666
721,853,33.16959244472912,0.58543515,-0.11437621,0.28291696,455.2414,327.59766,472.443,355.9583
0,1290,49.13495613715111,0.58333015,0.3782137,0.23502326,-468.5371,-177.87436,-468.00974,-128.74223
99,912,29.162698124328873,0.5832562,0.20757084,0.20498355,-300.62173,229.08148,-283.98975,253.03644
132,1214,41.485895631836,0.5782534,0.43901068,0.29092917,-257.1141,65.24072,-297.57764,56.087463
