dist_lo,dist_hi,n_pairs,frac_connected,mean_syn,frac_zero_syn,frac_bilateral
0,20,4207,0.22914190634656526,0.6375089137152365,0.7708580936534347,0.05300689327311624
20,40,26307,0.20964001976660204,0.5986619530923328,0.7903599802333979,0.05032880982248071
40,60,58047,0.20154357675676607,0.5873344014333213,0.798456423243234,0.04816786397229831
60,80,88127,0.19366368990207314,0.5505917596196398,0.8063363100979268,0.045695416841603595
80,100,106824,0.18037145210814048,0.49728525424998127,0.8196285478918595,0.039822511795102225
