root_id_a,root_id_b,soma_dist_um,dendrite_dendrite_dist_um,axon_dendrite_dist_a2b_um,axon_dendrite_dist_b2a_um,syn_a2b,syn_b2a,syn_total
864691135686494647,864691136812081779,149.8292933708225,5.308770102387181,6.377781432441848,21.306391153829875,1,0,1
864691135686494647,864691136195284556,682.9726141976705,533.0136463543874,35.01088379347199,226.72121058251255,0,0,0
864691135686494647,864691135479404742,640.643328662681,397.7585732074169,98.47565806837748,205.5008146747842,0,0,0
864691135686494647,864691135975539779,167.09144035527373,3.1463502665787226,9.57562238186114,33.67933491029774,0,0,0
864691135686494647,864691136210344892,362.4745340572217,3.228572439949273,1.5645881247152555,19.523411177353204,1,0,1
864691135686494647,864691135975633475,368.9226641994227,2.429748958225932,3.206852662658514,40.56264291192082,0,0,0
864691135686494647,864691135497743635,210.65297643280525,5.273177410252759,10.397101134450892,4.347033931314546,0,0,0
864691135686494647,864691136108938168,173.52061004964224,1.3774178741398706,8.25861198991695,17.806434791950913,0,0,0
864691135686494647,864691136023889209,583.7018119279741,424.64927035849246,248.6933848738241,123.89122893893659,0,0,0
864691136812081779,864691136195284556,769.605034203909,569.2805829676611,2.6593352552846734,291.41911514518057,0,0,0
864691136812081779,864691135479404742,732.8192779996989,410.638829688572,30.74176104259481,227.5329425292083,0,0,0
864691136812081779,864691135975539779,46.6605649344283,1.399268380261628,5.314336835391599,1.063879692446472,0,0,0
864691136812081779,864691136210344892,295.96631170455873,2.161007172593372,2.1687821467358126,2.2091156601681137,0,0,0
864691136812081779,864691135975633475,314.16554433610315,88.99078711866751,2.4895300761388683,24.963267734813886,0,0,0
864691136812081779,864691135497743635,111.11988826488263,3.1129561513134103,2.0049379042753417,4.407259465926644,0,1,1
864691136812081779,864691136108938168,90.84111844313676,3.118204611631507,3.180943256331367,2.024632312297717,0,0,0
864691136812081779,864691136023889209,697.8140380359225,523.2317028927051,74.86967920326626,34.642983705218,0,0,0
864691136195284556,864691135479404742,84.50991023542743,2.007107371318236,4.851938993845656,3.1944952652962253,0,0,0
864691136195284556,864691135975539779,758.4422253645955,561.675230573683,353.94346739557153,9.358639217322143,0,0,0
864691136195284556,864691136210344892,652.9154564566533,248.75728276374142,223.03478874830267,9.199199965214365,0,0,0
864691136195284556,864691135975633475,619.696627352449,323.41026645423614,271.4435382026988,299.05084678027583,0,0,0
864691136195284556,864691135497743635,720.146866487663,483.92125408996037,314.6502744317888,20.838616460792206,0,0,0
864691136195284556,864691136108938168,716.012268632319,526.4731002131068,215.82042520577147,20.405066037628988,0,0,0
864691136195284556,864691136023889209,223.66066239730222,113.83357536333469,4.239169730029691,2.5550201564762656,0,0,0
864691135479404742,864691135975539779,726.3855223226851,394.46459138432186,237.67145080551848,22.96491794019739,0,0,0
864691135479404742,864691136210344892,625.2990212562306,18.301917713726066,84.43273298904874,9.466407132592598,0,0,0
864691135479404742,864691135975633475,609.2628520696137,164.01065233697474,207.80416165226333,132.76144331845748,0,0,0
864691135479404742,864691135497743635,692.2638095061737,304.8162669674963,167.2977761956207,58.38332364639752,0,0,0
864691135479404742,864691136108938168,687.2880498655568,337.2829347120901,202.40390510066746,42.366149506416086,0,0,0
864691135479404742,864691136023889209,220.4978397717311,12.433732183057508,20.750225059020444,5.953548185746043,0,0,0
864691135975539779,864691136210344892,283.559585611208,3.431804190218317,4.107896785460901,3.856506190841653,0,0,0
864691135975539779,864691135975633475,281.3044817559791,9.014644086152265,2.073296891426792,8.972926389980026,0,0,0
864691135975539779,864691135497743635,77.17617207402813,1.1241352231826915,3.019700647415237,2.0808306033889448,1,1,2
864691135975539779,864691136108938168,51.85145552441127,1.606785611088175,1.9756922837324642,2.543383573116725,0,0,0
864691135975539779,864691136023889209,688.2296848698115,515.7035745774892,217.64948819604422,57.78479246306938,0,0,0
864691136210344892,864691135975633475,156.6516573803163,1.1594481445929352,5.3238963175478915,5.057278319412528,0,0,0
864691136210344892,864691135497743635,216.0115530243695,3.5196818037998834,7.043262880228169,5.7894524784300625,0,0,0
864691136210344892,864691136108938168,255.11731839293077,6.625255919585295,5.937778709248097,6.006662967072482,0,0,0
864691136210344892,864691136023889209,671.5220397395755,384.73510679427216,148.16971134479542,5.738805450614265,0,0,0
864691135975633475,864691135497743635,205.8674835907798,4.967278530543662,5.161748540950053,2.6045252926397167,0,1,1
864691135975633475,864691136108938168,235.70718268224243,5.352478304486623,9.140583788795988,4.417717057485687,0,0,0
864691135975633475,864691136023889209,621.3209645521387,425.9861132760081,314.90883150524695,16.700813872383584,0,0,0
864691135497743635,864691136108938168,46.63896534015307,2.216231034887834,4.3858828073718525,1.976129550409082,1,1,2
864691135497743635,864691136023889209,669.377690838289,475.11618014965563,95.33974617125851,21.692887682371843,0,0,0
864691136108938168,864691136023889209,651.1007032402898,470.67659283206336,8.03283262616619,48.0337214881379,0,0,0
